POINT_X;POINT_Y;NOMBRE;CODVIA;TIPOVIA;PARTICULA;NOMBREVIA;ACCTEXTO;DISTRITO;BARRIO;CP;USO;TIPO
-3.61730589122;37.2135916558;C.C.KINEPOLIS;;;;PULIANAS;;;;;PÚBLICO;MIXTO
-3.59734714775;37.1963659342;PARKING ALFAR ROMANO;"15236";CALLE;;PROFESOR VICENTE CALLAO;SN;BEIRO;SAN ILDEFONSO;"18011";PÚBLICO;SUPERFICIE
-3.59733727013;37.191111824;PARKING LOS ALMENDROS;"15208";CALLE;;PROFESOR CLAVERA;SN;BEIRO;SAN ILDEFONSO;"18011";PÚBLICO;SUPERFICIE
-3.60300954077;37.147222045;COMPLEJO HOSPITALARIO UNIVERSITARIO DE GRANADA;"15444";AVENIDA;DE LA;INVESTIGACION;"15";ZAIDIN;ZAIDIN - VERGELES;"18016";PÚBLICO;SUBTERRÁNEO
-3.6207966363;37.2011179294;CENTRO DEPORTIVO PRIETO CASTILLO;"15221";AVENIDA;;FEDERICO GARCIA LORCA;"21";BEIRO;BARRIADA DE LA CRUZ;"18014";PÚBLICO;SUPERFICIE
-3.62641026755;37.2007621666;CENTRO DEPORTIVO CERRILLO DE MARACENA;"15217";CALLE;;ESOPO;Frente a 28;CHANA;CERRILLO DE MARACENA;"18014";PÚBLICO;SUPERFICIE
-3.59427647335;37.1881213283;CENTRO DEPORTIVO AYNADAMAR;"01452";CALLEJON;DE;TALLACARNE;"6";ALBAYZIN;HAZA GRANDE;"18011";PÚBLICO;SUPERFICIE
-3.58284270617;37.1643288241;CENTRO DEPORTIVO BOLA DE ORO;"10934";PASEO;;FUENTE DE LA BICHA (peatonal);"30";GENIL;CAMINO DE LOS NEVEROS y BOLA DE ORO;"18008";PÚBLICO;SUPERFICIE
-3.61459136582;37.1810875313;ARTESANO MOLERO;"00151";CALLE;;ARTESANO MOLERO;"3";RONDA;CAMINO DE RONDA;"18004";PÚBLICO;SUBTERRÁNEO
-3.61436635714;37.1887746962;APARCAMIENTO ALBORADA;"00474";CALLE;;CRUZ DEL SUR;"4";BEIRO y CHANA;PAJARITOS y CHANA - ENCINA - ANGUSTIAS;"18014";PÚBLICO;SUBTERRÁNEO
