service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1_107_1471_10_268_1,1,1,1,1,1,0,0,20200914,20270630
1_108_1474_10_268_2,0,0,0,0,0,1,0,20200914,20270630
1_109_1476_10_268_3,0,0,0,0,0,0,1,20200914,20270630
1_116_1477_10_414_1,1,1,1,1,1,0,0,20200914,20270630
1_290_1464_13_475_1,1,1,1,1,1,0,0,20220701,20270630
1_315_408_10_264_1,1,1,1,1,1,0,0,20200914,20270630
1_315_760_10_265_1,1,1,1,1,1,0,0,20200914,20270630
1_386_482_10_419_1,1,1,1,1,1,0,0,20250901,20270630
1_386_1047_10_272_1,1,1,1,1,1,0,0,20250901,20270630
1_392_487_10_273_1,1,1,1,1,1,0,0,20250901,20270630
1_392_487_10_420_1,1,1,1,1,1,0,0,20250901,20270630
1_445_531_10_282_2,0,0,0,0,0,1,0,20260701,20260831
1_446_532_10_282_3,0,0,0,0,0,0,1,20260701,20260831
1_447_536_10_279_1,1,1,1,1,1,0,0,20260801,20260831
1_448_537_10_282_1,1,1,1,1,1,0,0,20260801,20260831
1_448_537_10_284_1,1,1,1,1,1,0,0,20260801,20260831
1_449_538_10_279_2,0,0,0,0,0,1,0,20260701,20260831
1_451_541_10_284_2,0,0,0,0,0,1,0,20260701,20260831
1_452_543_10_284_3,0,0,0,0,0,0,1,20260701,20260831
1_453_545_10_281_2,0,0,0,0,0,1,0,20260701,20260831
1_495_195_9_466_1,1,1,1,1,1,0,0,20260701,20260831
1_496_196_9_204_2,0,0,0,0,0,1,0,20260701,20260831
1_512_370_9_217_3,0,0,0,0,0,0,1,20260701,20260831
1_535_525_10_279_3,0,0,0,0,0,0,1,20260701,20260831
1_600_683_10_490_1,1,1,1,1,1,0,0,20200914,20270630
1_601_682_6_489_1,1,1,1,1,1,0,0,20200914,20270630
1_602_684_10_492_1,1,1,1,1,1,0,0,20200914,20270630
1_603_685_6_492_1,1,1,1,1,1,0,0,20200914,20270630
1_631_717_24_239_1,1,1,1,1,1,0,0,20240901,20270630
1_632_718_24_239_4,0,0,0,0,0,1,1,20240901,20270630
1_683_757_10_499_1,1,1,1,1,1,0,0,20200914,20270630
1_688_763_10_502_1,1,1,1,1,1,0,0,20200914,20270630
1_692_769_10_436_1,1,1,1,1,1,0,0,20250901,20270630
1_804_1103_9_498_1,1,1,1,1,1,0,0,20210906,20270630
1_805_1104_9_498_2,0,0,0,0,0,1,0,20210906,20270630
1_806_1105_9_498_3,0,0,0,0,0,0,1,20210906,20270630
1_882_1292_17_238_4,0,0,0,0,0,1,1,20260701,20260831
1_897_1325_10_272_2,0,0,0,0,0,1,0,20250901,20270630
1_897_1325_10_419_2,0,0,0,0,0,1,0,20250901,20270630
1_898_1326_10_272_12,0,0,0,0,0,0,1,20250901,20270630
1_898_1326_10_419_12,0,0,0,0,0,0,1,20250901,20270630
1_898_1483_10_272_13,0,0,0,0,0,0,0,20250901,20270630
1_898_1483_10_419_13,0,0,0,0,0,0,0,20250901,20270630
1_899_1327_10_273_2,0,0,0,0,0,1,0,20250901,20270630
1_900_489_10_273_3,0,0,0,0,0,0,1,20250901,20270630
1_901_420_10_271_4,0,0,0,0,0,1,1,20211018,20270630
1_906_1334_10_251_2,0,0,0,0,0,1,0,20230918,20270711
1_906_1334_10_252_2,0,0,0,0,0,1,0,20230918,20270711
1_906_1334_10_253_2,0,0,0,0,0,1,0,20230918,20270711
1_906_1334_10_255_2,0,0,0,0,0,1,0,20230918,20270711
1_907_1335_10_251_3,0,0,0,0,0,0,1,20230918,20270711
1_907_1335_10_252_3,0,0,0,0,0,0,1,20230918,20270711
1_907_1335_10_253_3,0,0,0,0,0,0,1,20230918,20270711
1_907_1335_10_255_3,0,0,0,0,0,0,1,20230918,20270711
1_910_1349_6_236_1,1,1,1,1,1,0,0,20260701,20260831
1_910_1349_6_424_1,1,1,1,1,1,0,0,20260701,20260831
1_910_1349_6_425_1,1,1,1,1,1,0,0,20260701,20260831
1_910_1349_6_426_1,1,1,1,1,1,0,0,20260701,20260831
1_910_1349_6_427_1,1,1,1,1,1,0,0,20260701,20260831
1_910_1349_6_428_1,1,1,1,1,1,0,0,20260701,20260831
1_910_1352_6_234_1,1,1,1,1,1,0,0,20260701,20260831
1_910_1352_6_235_1,1,1,1,1,1,0,0,20260701,20260831
1_910_1352_6_422_1,1,1,1,1,1,0,0,20260701,20260831
1_910_1352_6_423_1,1,1,1,1,1,0,0,20260701,20260831
1_911_1350_6_425_2,0,0,0,0,0,1,0,20260701,20260831
1_911_1350_6_427_2,0,0,0,0,0,1,0,20260701,20260831
1_911_1350_6_428_2,0,0,0,0,0,1,0,20260701,20260831
1_911_1353_6_234_2,0,0,0,0,0,1,0,20260701,20260831
1_912_1351_6_425_3,0,0,0,0,0,0,1,20260701,20260831
1_912_1351_6_427_3,0,0,0,0,0,0,1,20260701,20260831
1_912_1354_6_234_3,0,0,0,0,0,0,1,20260701,20260831
1_914_346_6_232_2,0,0,0,0,0,1,0,20260701,20260831
1_914_573_6_233_2,0,0,0,0,0,1,0,20260701,20260831
1_915_355_6_232_3,0,0,0,0,0,0,1,20260701,20260831
1_916_358_6_232_1,1,1,1,1,1,0,0,20260801,20260831
1_916_572_6_233_1,1,1,1,1,1,0,0,20260801,20260831
1_922_232_13_300_1,1,1,1,1,1,0,0,20260701,20260831
1_922_378_13_301_1,1,1,1,1,1,0,0,20260701,20260831
1_922_378_13_302_1,1,1,1,1,1,0,0,20260701,20260831
1_922_498_13_446_1,1,1,1,1,1,0,0,20260701,20260831
1_922_1357_13_259_1,1,1,1,1,1,0,0,20260701,20260831
1_922_1357_13_260_1,1,1,1,1,1,0,0,20260701,20260831
1_922_1489_13_299_1,1,1,1,1,1,0,0,20260701,20260831
1_922_1491_13_324_1,1,1,1,1,1,0,0,20260701,20260831
1_923_231_13_302_2,0,0,0,0,0,1,0,20260701,20260831
1_923_1358_13_259_2,0,0,0,0,0,1,0,20260701,20260831
1_923_1358_13_260_2,0,0,0,0,0,1,0,20260701,20260831
1_923_1518_13_299_2,0,0,0,0,0,1,0,20260701,20260831
1_923_1518_13_448_2,0,0,0,0,0,1,0,20260701,20260831
1_924_1359_13_259_3,0,0,0,0,0,0,1,20260701,20260831
1_924_1519_13_299_3,0,0,0,0,0,0,1,20260701,20260831
1_924_1519_13_448_3,0,0,0,0,0,0,1,20260701,20260831
1_926_1492_13_308_1,1,1,1,1,1,0,0,20260801,20260831
1_926_1492_13_311_1,1,1,1,1,1,0,0,20260801,20260831
1_926_1493_13_314_8,1,0,0,0,0,0,0,20260801,20260831
1_926_1494_13_314_10,0,1,1,1,1,0,0,20260801,20260831
1_928_344_13_308_3,0,0,0,0,0,0,1,20260701,20260831
1_928_344_13_309_3,0,0,0,0,0,0,1,20260701,20260831
1_928_505_13_314_3,0,0,0,0,0,0,1,20260701,20260831
1_929_340_13_308_2,0,0,0,0,0,1,0,20260801,20260831
1_929_340_13_311_2,0,0,0,0,0,1,0,20260801,20260831
1_929_501_13_314_2,0,0,0,0,0,1,0,20260801,20260831
1_929_501_13_474_2,0,0,0,0,0,1,0,20260801,20260831
1_930_197_9_208_1,1,1,1,1,1,0,0,20260701,20260831
1_930_1360_9_206_1,1,1,1,1,1,0,0,20260701,20260831
1_930_1360_9_207_1,1,1,1,1,1,0,0,20260701,20260831
1_930_1495_9_210_1,1,1,1,1,1,0,0,20260701,20260831
1_930_1495_9_211_1,1,1,1,1,1,0,0,20260701,20260831
1_931_200_9_210_2,0,0,0,0,0,1,0,20260701,20260831
1_931_200_9_211_2,0,0,0,0,0,1,0,20260701,20260831
1_931_1361_9_206_2,0,0,0,0,0,1,0,20260701,20260831
1_932_223_9_206_3,0,0,0,0,0,0,1,20260701,20260831
1_932_668_9_210_3,0,0,0,0,0,0,1,20260701,20260831
1_932_668_9_211_3,0,0,0,0,0,0,1,20260701,20260831
1_934_1367_9_220_1,1,1,1,1,1,0,0,20260801,20260831
1_934_1367_9_460_1,1,1,1,1,1,0,0,20260801,20260831
1_934_1367_9_461_1,1,1,1,1,1,0,0,20260801,20260831
1_935_1368_9_220_2,0,0,0,0,0,1,0,20260701,20260831
1_935_1368_9_221_2,0,0,0,0,0,1,0,20260701,20260831
1_936_1369_9_220_3,0,0,0,0,0,0,1,20260701,20260831
1_937_1370_9_212_9,1,1,1,1,0,0,0,20260701,20260831
1_937_1370_9_213_9,1,1,1,1,0,0,0,20260701,20260831
1_937_1371_9_212_5,0,0,0,0,1,0,0,20260701,20260831
1_937_1371_9_213_5,0,0,0,0,1,0,0,20260701,20260831
1_938_1373_9_212_2,0,0,0,0,0,1,0,20260701,20260831
1_939_1374_9_212_3,0,0,0,0,0,0,1,20260701,20260831
1_940_363_9_216_1,1,1,1,1,1,0,0,20260701,20260831
1_940_368_9_217_1,1,1,1,1,1,0,0,20260701,20260831
1_940_599_9_438_1,1,1,1,1,1,0,0,20260701,20260831
1_940_746_9_215_1,1,1,1,1,1,0,0,20260701,20260831
1_940_1375_9_214_10,0,1,1,1,1,0,0,20260701,20260831
1_940_1375_9_467_10,0,1,1,1,1,0,0,20260701,20260831
1_940_1376_9_214_8,1,0,0,0,0,0,0,20260701,20260831
1_940_1376_9_467_8,1,0,0,0,0,0,0,20260701,20260831
1_941_364_9_216_2,0,0,0,0,0,1,0,20260701,20260831
1_941_369_9_217_2,0,0,0,0,0,1,0,20260701,20260831
1_941_1377_9_467_2,0,0,0,0,0,1,0,20260701,20260831
1_941_1380_9_214_2,0,0,0,0,0,1,0,20260701,20260831
1_942_1378_9_467_3,0,0,0,0,0,0,1,20260701,20260831
1_942_1381_9_214_3,0,0,0,0,0,0,1,20260701,20260831
1_943_1382_9_218_9,1,1,1,1,0,0,0,20260701,20260831
1_943_1382_9_434_9,1,1,1,1,0,0,0,20260701,20260831
1_943_1383_9_218_5,0,0,0,0,1,0,0,20260701,20260831
1_943_1383_9_434_5,0,0,0,0,1,0,0,20260701,20260831
1_943_1386_9_219_9,1,1,1,1,0,0,0,20260701,20260831
1_943_1386_9_429_9,1,1,1,1,0,0,0,20260701,20260831
1_943_1386_9_432_9,1,1,1,1,0,0,0,20260701,20260831
1_943_1387_9_219_5,0,0,0,0,1,0,0,20260701,20260831
1_943_1387_9_429_5,0,0,0,0,1,0,0,20260701,20260831
1_943_1387_9_432_5,0,0,0,0,1,0,0,20260701,20260831
1_944_1384_9_434_2,0,0,0,0,0,1,0,20260701,20260831
1_944_1388_9_432_2,0,0,0,0,0,1,0,20260701,20260831
1_945_1385_9_434_3,0,0,0,0,0,0,1,20260701,20260831
1_949_733_24_240_1,1,1,1,1,1,0,0,20260701,20260831
1_949_733_24_241_1,1,1,1,1,1,0,0,20260701,20260831
1_949_735_24_242_1,1,1,1,1,1,0,0,20260701,20260831
1_949_738_24_244_1,1,1,1,1,1,0,0,20260701,20260831
1_949_738_24_245_1,1,1,1,1,1,0,0,20260701,20260831
1_949_743_24_243_1,1,1,1,1,1,0,0,20260701,20260831
1_949_743_24_416_1,1,1,1,1,1,0,0,20260701,20260831
1_949_1393_24_247_1,1,1,1,1,1,0,0,20260701,20260831
1_949_1393_24_417_1,1,1,1,1,1,0,0,20260701,20260831
1_949_1393_24_500_1,1,1,1,1,1,0,0,20260701,20260831
1_950_736_24_242_4,0,0,0,0,0,1,1,20260701,20260831
1_950_739_24_245_4,0,0,0,0,0,1,1,20260701,20260831
1_950_744_24_243_4,0,0,0,0,0,1,1,20260701,20260831
1_952_742_24_247_3,0,0,0,0,0,0,1,20260701,20260831
1_953_511_10_259_1,1,1,1,1,1,0,0,20260701,20260831
1_953_511_10_260_1,1,1,1,1,1,0,0,20260701,20260831
1_954_151_10_259_2,0,0,0,0,0,1,0,20260701,20260831
1_954_151_10_260_2,0,0,0,0,0,1,0,20260701,20260831
1_955_152_10_259_3,0,0,0,0,0,0,1,20260701,20260831
