service_id,date,exception_type
1_109_1476_10_268_3,20260101,1
1_109_1476_10_268_3,20260106,1
1_109_1476_10_268_3,20260228,1
1_109_1476_10_268_3,20260402,1
1_109_1476_10_268_3,20260403,1
1_109_1476_10_268_3,20260501,1
1_109_1476_10_268_3,20260815,1
1_109_1476_10_268_3,20261212,1
1_109_1476_10_268_3,20261102,1
1_109_1476_10_268_3,20261207,1
1_109_1476_10_268_3,20261208,1
1_109_1476_10_268_3,20261225,1
1_109_1476_10_268_3,20260422,1
1_109_1476_10_268_3,20260604,1
1_446_532_10_282_3,20260101,1
1_446_532_10_282_3,20260106,1
1_446_532_10_282_3,20260228,1
1_446_532_10_282_3,20260402,1
1_446_532_10_282_3,20260403,1
1_446_532_10_282_3,20260501,1
1_446_532_10_282_3,20260815,1
1_446_532_10_282_3,20261212,1
1_446_532_10_282_3,20261102,1
1_446_532_10_282_3,20261207,1
1_446_532_10_282_3,20261208,1
1_446_532_10_282_3,20261225,1
1_446_532_10_282_3,20260422,1
1_446_532_10_282_3,20260604,1
1_452_543_10_284_3,20260101,1
1_452_543_10_284_3,20260106,1
1_452_543_10_284_3,20260228,1
1_452_543_10_284_3,20260402,1
1_452_543_10_284_3,20260403,1
1_452_543_10_284_3,20260501,1
1_452_543_10_284_3,20260815,1
1_452_543_10_284_3,20261212,1
1_452_543_10_284_3,20261102,1
1_452_543_10_284_3,20261207,1
1_452_543_10_284_3,20261208,1
1_452_543_10_284_3,20261225,1
1_452_543_10_284_3,20260422,1
1_452_543_10_284_3,20260604,1
1_512_370_9_217_3,20260101,1
1_512_370_9_217_3,20260106,1
1_512_370_9_217_3,20260228,1
1_512_370_9_217_3,20260402,1
1_512_370_9_217_3,20260403,1
1_512_370_9_217_3,20260501,1
1_512_370_9_217_3,20260815,1
1_512_370_9_217_3,20261212,1
1_512_370_9_217_3,20261102,1
1_512_370_9_217_3,20261207,1
1_512_370_9_217_3,20261208,1
1_512_370_9_217_3,20261225,1
1_512_370_9_217_3,20260422,1
1_512_370_9_217_3,20260604,1
1_535_525_10_279_3,20260101,1
1_535_525_10_279_3,20260106,1
1_535_525_10_279_3,20260228,1
1_535_525_10_279_3,20260402,1
1_535_525_10_279_3,20260403,1
1_535_525_10_279_3,20260501,1
1_535_525_10_279_3,20260815,1
1_535_525_10_279_3,20261212,1
1_535_525_10_279_3,20261102,1
1_535_525_10_279_3,20261207,1
1_535_525_10_279_3,20261208,1
1_535_525_10_279_3,20261225,1
1_535_525_10_279_3,20260422,1
1_535_525_10_279_3,20260604,1
1_632_718_24_239_4,20260101,1
1_632_718_24_239_4,20260106,1
1_632_718_24_239_4,20260228,1
1_632_718_24_239_4,20260402,1
1_632_718_24_239_4,20260403,1
1_632_718_24_239_4,20260501,1
1_632_718_24_239_4,20260815,1
1_632_718_24_239_4,20261212,1
1_632_718_24_239_4,20261102,1
1_632_718_24_239_4,20261207,1
1_632_718_24_239_4,20261208,1
1_632_718_24_239_4,20261225,1
1_632_718_24_239_4,20260422,1
1_632_718_24_239_4,20260604,1
1_806_1105_9_498_3,20260101,1
1_806_1105_9_498_3,20260106,1
1_806_1105_9_498_3,20260228,1
1_806_1105_9_498_3,20260402,1
1_806_1105_9_498_3,20260403,1
1_806_1105_9_498_3,20260501,1
1_806_1105_9_498_3,20260815,1
1_806_1105_9_498_3,20261212,1
1_806_1105_9_498_3,20261102,1
1_806_1105_9_498_3,20261207,1
1_806_1105_9_498_3,20261208,1
1_806_1105_9_498_3,20261225,1
1_806_1105_9_498_3,20260422,1
1_806_1105_9_498_3,20260604,1
1_882_1292_17_238_4,20260101,1
1_882_1292_17_238_4,20260106,1
1_882_1292_17_238_4,20260228,1
1_882_1292_17_238_4,20260402,1
1_882_1292_17_238_4,20260403,1
1_882_1292_17_238_4,20260501,1
1_882_1292_17_238_4,20260815,1
1_882_1292_17_238_4,20261212,1
1_882_1292_17_238_4,20261102,1
1_882_1292_17_238_4,20261207,1
1_882_1292_17_238_4,20261208,1
1_882_1292_17_238_4,20261225,1
1_882_1292_17_238_4,20260422,1
1_882_1292_17_238_4,20260604,1
1_898_1483_10_272_13,20260101,1
1_898_1483_10_272_13,20260106,1
1_898_1483_10_272_13,20260228,1
1_898_1483_10_272_13,20260402,1
1_898_1483_10_272_13,20260403,1
1_898_1483_10_272_13,20260501,1
1_898_1483_10_272_13,20260815,1
1_898_1483_10_272_13,20261212,1
