service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
L1Domingo25,0,0,0,0,0,0,1,20260615,20261213
L1LaborableInvierno25,1,1,1,1,0,0,0,20260615,20260630
L1LaborableInvierno26,1,1,1,1,0,0,0,20260901,20261213
L1LaborableVerano11UT,1,1,1,1,0,0,0,20260716,20260831
L1LaborableVerano14UT,1,1,1,1,0,0,0,20260701,20260715
L1Sabado25,0,0,0,0,0,1,0,20260615,20261213
L1ViernesInvierno25,0,0,0,0,1,0,0,20260615,20260630
L1ViernesInvierno26,0,0,0,0,1,0,0,20260901,20261213
L1ViernesVerano11UT,0,0,0,0,1,0,0,20260716,20260831
L1ViernesVerano14UT,0,0,0,0,1,0,0,20260701,20260715
