service_id,date,exception_type
L1Domingo25,20260329,2
L1DomingoRamos25318,20260329,1
L1LaborableInvierno25,20260402,2
L1JuevesSanto26320,20260402,1
L1LaborableInvierno25,20260401,2
L1MiercolesSanto2026324,20260401,1
L1ViernesInvierno25,20260501,2
L1SabadoFestivo25297,20260501,1
L1Sabado25,20260404,2
L1SabadoSanto26322,20260404,1
L1LaborableInvierno25,20260430,2
L1ViernesInviernoVispera25288,20260430,1
L1LaborableInvierno25,20260330,2
L1ViernesInviernoVispera25316,20260330,1
L1LaborableInvierno25,20260331,2
L1ViernesInviernoVispera25317,20260331,1
L1ViernesInvierno25,20260403,2
L1ViernesSanto2026323,20260403,1
