route_id,service_id,trip_id,trip_headsign,trip_short_name,shape_id,direction_id,wheelchair_accessible,bikes_allowed
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_1,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_1,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_2,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_2,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_3,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_3,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_4,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_4,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_5,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_5,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_6,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_6,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_7,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_7,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_8,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_8,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_9,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_9,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_10,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_10,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_11,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_11,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_12,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_12,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_13,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_13,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_14,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_14,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_15,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_15,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_16,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_16,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_17,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_17,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_18,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_18,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_19,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_19,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_20,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_20,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_21,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_21,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_22,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_22,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_23,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_23,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_24,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_24,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_25,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_25,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_26,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_26,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_27,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_27,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_28,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_28,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_29,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_29,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_30,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_30,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_31,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_31,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_32,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_32,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_33,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_33,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_34,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_34,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_35,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_35,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_36,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_36,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_37,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_37,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_38,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_38,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_39,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_39,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_40,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_40,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_41,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_41,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_42,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_42,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_43,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_43,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_44,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_44,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_45,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_45,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_46,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_47,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_46,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_48,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_47,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_49,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_48,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_50,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_49,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_51,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_50,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_52,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_51,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_53,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_52,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_54,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_53,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_55,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_54,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_56,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_55,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_57,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_56,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_58,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_57,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_59,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_58,Armilla,,1,0,1,1
L1,L1Domingo19julio26361,VUELTAL1Domingo19julio26361_60,Albolote,,2,1,1,1
L1,L1Domingo19julio26361,IDAL1Domingo19julio26361_59,Armilla,,1,0,1,1
