service_id,date,exception_type
8cc552a0-4669-473b-9e86-052eb879142c_aac57d7a-784a-450f-a585-0419631f0e48,20251206,2
0c6aa415-c604-4695-a81a-6313d210d855_aac57d7a-784a-450f-a585-0419631f0e48,20221206,1
6ec81bf7-44c5-4b98-99d9-389d644b69f6_aac57d7a-784a-450f-a585-0419631f0e48,20251208,2
0c6aa415-c604-4695-a81a-6313d210d855_aac57d7a-784a-450f-a585-0419631f0e48,20251208,1
6ec81bf7-44c5-4b98-99d9-389d644b69f6_aac57d7a-784a-450f-a585-0419631f0e48,20251225,2
0c6aa415-c604-4695-a81a-6313d210d855_aac57d7a-784a-450f-a585-0419631f0e48,20251225,1
6ec81bf7-44c5-4b98-99d9-389d644b69f6_aac57d7a-784a-450f-a585-0419631f0e48,20260101,2
0c6aa415-c604-4695-a81a-6313d210d855_aac57d7a-784a-450f-a585-0419631f0e48,20260101,1
66804cca-d0d6-4d2b-8ee4-6d588aecdeb1_aac57d7a-784a-450f-a585-0419631f0e48,20260102,2
0c6aa415-c604-4695-a81a-6313d210d855_aac57d7a-784a-450f-a585-0419631f0e48,20260102,1
6ec81bf7-44c5-4b98-99d9-389d644b69f6_aac57d7a-784a-450f-a585-0419631f0e48,20260106,2
0c6aa415-c604-4695-a81a-6313d210d855_aac57d7a-784a-450f-a585-0419631f0e48,20260106,1


